i j pA nameA pA' namea cAMax cAMin cANA pB nameB pB' nameb cBMax cBMin cBNA pAB r^2
1 34 0.5901408 2 0.4098592 1 1257 873 NA 0.5774648 2 0.4225352 1 1230 900 NA 0.3682031 0.01273736 
1 35 0.5901408 2 0.4098592 1 1257 873 NA 0.5657277 2 0.4342723 1 1205 925 NA 0.3563542 0.008515708 
1 36 0.5901408 2 0.4098592 1 1257 873 NA 0.5680751 2 0.4319249 1 1210 920 NA 0.3574491 0.008307859 
1 37 0.5901408 2 0.4098592 1 1257 873 NA 0.5662594 2 0.4337406 1 1205 923 2 0.3564633 0.008363808 
1 38 0.5901408 2 0.4098592 1 1257 873 NA 0.5686736 2 0.4313264 1 1209 917 4 0.3587524 0.009037026 
1 39 0.5901408 2 0.4098592 1 1257 873 NA 0.5046948 2 0.4953052 1 1075 1055 NA 0.2892743 0.001213778 
1 40 0.5901408 2 0.4098592 1 1257 873 NA 0.5690141 2 0.4309859 1 1212 918 NA 0.3592127 0.009242413 
1 41 0.5901408 2 0.4098592 1 1257 873 NA 0.5037559 2 0.4962441 1 1073 1057 NA 0.2877612 0.001500693 
1 42 0.5901408 2 0.4098592 1 1257 873 NA 0.930986 2 0.06901408 1 1983 147 NA 0.534229 0.01483518 
1 43 0.5901408 2 0.4098592 1 1257 873 NA 0.930986 2 0.06901408 1 1983 147 NA 0.534229 0.01483518 
1 44 0.5901408 2 0.4098592 1 1257 873 NA 0.9305164 2 0.06948357 1 1982 148 NA 0.5334563 0.01572042 
1 45 0.5901408 2 0.4098592 1 1257 873 NA 0.9312618 2 0.06873823 1 1978 146 6 0.5334743 0.01674416 
1 46 0.5901408 2 0.4098592 1 1257 873 NA 0.930856 2 0.06914393 1 1979 147 4 0.5677721 0.02183249 
1 47 0.5901408 2 0.4098592 1 1257 873 NA 0.6190028 2 0.3809972 1 1316 810 4 0.3714821 0.0006702366 
1 48 0.5901408 2 0.4098592 1 1257 873 NA 0.6790414 2 0.3209586 1 1445 683 2 0.4070569 0.0007593588 
1 49 0.5901408 2 0.4098592 1 1257 873 NA 0.9178404 2 0.08215962 1 1955 175 NA 0.5618583 0.02237812 
1 50 0.5901408 2 0.4098592 1 1257 873 NA 0.5225564 2 0.4774436 1 1112 1016 2 0.3376843 0.01422859 
1 51 0.5901408 2 0.4098592 1 1257 873 NA 0.5441315 2 0.4558685 1 1159 971 NA 0.3080853 0.002829323 
1 52 0.5901408 2 0.4098592 1 1257 873 NA 0.5586854 2 0.4413146 1 1190 940 NA 0.3171637 0.002636607 
1 53 0.5901408 2 0.4098592 1 1257 873 NA 0.5558685 2 0.4441315 1 1184 946 NA 0.3173147 0.001926672 
1 54 0.5901408 2 0.4098592 1 1257 873 NA 0.5962441 2 0.4037559 1 1270 860 NA 0.3402819 0.002305391 
1 55 0.5901408 2 0.4098592 1 1257 873 NA 0.7349341 2 0.2650659 1 1561 563 6 0.4469287 0.00370578 
1 56 0.5901408 2 0.4098592 1 1257 873 NA 0.7476504 2 0.2523496 1 1591 537 2 0.4524560 0.002767011 
1 57 0.5901408 2 0.4098592 1 1257 873 NA 0.7643192 2 0.2356808 1 1628 502 NA 0.4573262 0.0009023487 
1 58 0.5901408 2 0.4098592 1 1257 873 NA 0.5474178 2 0.4525822 1 1166 964 NA 0.316482 0.0007206806 
1 59 0.5901408 2 0.4098592 1 1257 873 NA 0.6251185 2 0.3748815 1 1319 791 20 0.3655163 0.0002029406 
1 60 0.5901408 2 0.4098592 1 1257 873 NA 0.5291627 2 0.4708373 1 1125 1001 4 0.3071007 0.0004452376 
1 61 0.5901408 2 0.4098592 1 1257 873 NA 0.7530516 2 0.2469484 1 1604 526 NA 0.4448009 3.458424e-06 
1 62 0.5901408 2 0.4098592 1 1257 873 NA 0.9032864 2 0.09671362 1 1924 206 NA 0.5420811 0.003846112 
1 63 0.5901408 2 0.4098592 1 1257 873 NA 0.6101695 2 0.3898305 1 1296 828 6 0.3551179 0.0004289973 
1 64 0.5901408 2 0.4098592 1 1257 873 NA 0.5032864 2 0.4967136 1 1072 1058 NA 0.3038889 0.0007826117 
1 65 0.5901408 2 0.4098592 1 1257 873 NA 0.8901408 2 0.1098592 1 1896 234 NA 0.5219589 0.0004743459 
1 66 0.5901408 2 0.4098592 1 1257 873 NA 0.9051643 2 0.09483568 1 1928 202 NA 0.528252 0.001689289 
1 67 0.5901408 2 0.4098592 1 1257 873 NA 0.5169014 2 0.4830986 1 1101 1029 NA 0.2904869 0.003508753 
1 68 0.5901408 2 0.4098592 1 1257 873 NA 0.5957746 2 0.4042254 1 1269 861 NA 0.3482603 0.0001904453 
1 69 0.5901408 2 0.4098592 1 1257 873 NA 0.5591549 2 0.4408451 1 1191 939 NA 0.3242209 0.0005563164 
1 70 0.5901408 2 0.4098592 1 1257 873 NA 0.8928571 2 0.1071429 1 1900 228 2 0.5199056 0.002121248 
1 71 0.5901408 2 0.4098592 1 1257 873 NA 0.893797 2 0.106203 1 1902 226 2 0.5196005 0.002694633 
1 72 0.5901408 2 0.4098592 1 1257 873 NA 0.6375587 2 0.3624413 1 1358 772 NA 0.371321 0.0004345767 
1 73 0.5901408 2 0.4098592 1 1257 873 NA 0.9 2 0.1 1 1917 213 NA 0.5240108 0.002326134 
1 74 0.5901408 2 0.4098592 1 1257 873 NA 0.9394366 2 0.06056338 1 2001 129 NA 0.5667626 0.01110605 
1 75 0.5901408 2 0.4098592 1 1257 873 NA 0.5042254 2 0.4957746 1 1074 1056 NA 0.2892208 0.001151246 
1 76 0.5901408 2 0.4098592 1 1257 873 NA 0.8725306 2 0.1274694 1 1855 271 4 0.5121329 0.0002879064 
1 77 0.5901408 2 0.4098592 1 1257 873 NA 0.6367481 2 0.3632519 1 1355 773 2 0.3710931 0.000391152 
1 78 0.5901408 2 0.4098592 1 1257 873 NA 0.7488263 2 0.2511737 1 1595 535 NA 0.4397265 0.0001050861 
1 79 0.5901408 2 0.4098592 1 1257 873 NA 0.5089202 2 0.4910798 1 1084 1046 NA 0.2929518 0.0009016787 
1 80 0.5901408 2 0.4098592 1 1257 873 NA 0.5019324 2 0.4980676 1 1039 1031 60 0.2869728 0.001411342 
2 3 0.7744361 2 0.2255639 1 1648 480 2 0.873709 2 0.1262911 1 1861 269 NA 0.6481969 0.04194753 
2 4 0.7744361 2 0.2255639 1 1648 480 2 0.5831767 2 0.4168233 1 1241 887 2 0.3576743 0.2079062 
2 5 0.7744361 2 0.2255639 1 1648 480 2 0.8107981 2 0.1892019 1 1727 403 NA 0.585287 0.06779885 
2 6 0.7744361 2 0.2255639 1 1648 480 2 0.842723 2 0.157277 1 1795 335 NA 0.6183035 0.05090771 
2 7 0.7744361 2 0.2255639 1 1648 480 2 0.5637996 2 0.4362004 1 1193 923 14 0.5570159 0.3373718 
2 8 0.7744361 2 0.2255639 1 1648 480 2 0.8110902 2 0.1889098 1 1726 402 2 0.5943354 0.04268836 
2 9 0.7744361 2 0.2255639 1 1648 480 2 0.8468045 2 0.1531955 1 1802 326 2 0.7066794 0.1142530 
2 10 0.7744361 2 0.2255639 1 1648 480 2 0.5366886 2 0.4633114 1 1141 985 4 0.416243 8.622634e-06 
2 11 0.7744361 2 0.2255639 1 1648 480 2 0.8061033 2 0.1938967 1 1717 413 NA 0.5991371 0.02314508 
2 12 0.7744361 2 0.2255639 1 1648 480 2 0.9046948 2 0.09530516 1 1927 203 NA 0.763605 0.2633210 
2 13 0.7744361 2 0.2255639 1 1648 480 2 0.7103286 2 0.2896714 1 1513 617 NA 0.5929811 0.0511479 
2 14 0.7744361 2 0.2255639 1 1648 480 2 0.7103286 2 0.2896714 1 1513 617 NA 0.5929811 0.0511479 
2 15 0.7744361 2 0.2255639 1 1648 480 2 0.7103286 2 0.2896714 1 1513 617 NA 0.5929811 0.0511479 
2 16 0.7744361 2 0.2255639 1 1648 480 2 0.8061033 2 0.1938967 1 1717 413 NA 0.5991371 0.02314508 
2 17 0.7744361 2 0.2255639 1 1648 480 2 0.9896714 2 0.01032864 1 2108 22 NA 0.7658118 0.0002190412 
2 18 0.7744361 2 0.2255639 1 1648 480 2 0.5892019 2 0.4107981 1 1255 875 NA 0.4348058 0.01092606 
2 19 0.7744361 2 0.2255639 1 1648 480 2 0.585446 2 0.414554 1 1247 883 NA 0.4461659 0.001231126 
2 20 0.7744361 2 0.2255639 1 1648 480 2 0.62723 2 0.3727700 1 1336 794 NA 0.4783881 0.001326793 
2 21 0.7744361 2 0.2255639 1 1648 480 2 0.618421 2 0.3815789 1 1316 812 2 0.4980922 0.00890996 
2 22 0.7744361 2 0.2255639 1 1648 480 2 0.886385 2 0.1136150 1 1888 242 NA 0.686361 4.352321e-07 
2 23 0.7744361 2 0.2255639 1 1648 480 2 0.9422535 2 0.05774648 1 2007 123 NA 0.7213074 0.007437138 
2 24 0.7744361 2 0.2255639 1 1648 480 2 0.799061 2 0.2009390 1 1702 428 NA 0.6401827 0.01626832 
2 25 0.7744361 2 0.2255639 1 1648 480 2 0.5018779 1 0.4981221 2 1069 1061 NA 0.4066950 0.007437869 
2 26 0.7744361 2 0.2255639 1 1648 480 2 0.7070423 2 0.2929577 1 1506 624 NA 0.5437749 0.0003957652 
2 27 0.7744361 2 0.2255639 1 1648 480 2 0.5051643 2 0.4948357 1 1076 1054 NA 0.4092012 0.007406411 
2 28 0.7744361 2 0.2255639 1 1648 480 2 0.5056338 2 0.4943662 1 1077 1053 NA 0.4097521 0.007561733 
2 29 0.7744361 2 0.2255639 1 1648 480 2 0.8403756 2 0.1596244 1 1790 340 NA 0.6511015 3.448574e-06 
2 30 0.7744361 2 0.2255639 1 1648 480 2 0.7079812 2 0.2920188 1 1508 622 NA 0.5460231 0.0001418093 
2 31 0.7744361 2 0.2255639 1 1648 480 2 0.887688 2 0.1123120 1 1889 239 2 0.688091 2.303964e-05 
2 32 0.7744361 2 0.2255639 1 1648 480 2 0.9150235 2 0.08497653 1 1949 181 NA 0.7288481 0.03010343 
2 33 0.7744361 2 0.2255639 1 1648 480 2 0.9169014 2 0.08309859 1 1953 177 NA 0.7295015 0.02833526 
2 34 0.7744361 2 0.2255639 1 1648 480 2 0.5774648 2 0.4225352 1 1230 900 NA 0.4449459 0.0001202211 
2 35 0.7744361 2 0.2255639 1 1648 480 2 0.5657277 2 0.4342723 1 1205 925 NA 0.4353076 0.0001843014 
2 36 0.7744361 2 0.2255639 1 1648 480 2 0.5680751 2 0.4319249 1 1210 920 NA 0.4367435 0.0002380707 
2 37 0.7744361 2 0.2255639 1 1648 480 2 0.5662594 2 0.4337406 1 1205 923 2 0.4358904 0.0001626051 
2 38 0.7744361 2 0.2255639 1 1648 480 2 0.5686736 2 0.4313264 1 1209 917 4 0.4373422 0.0002184137 
2 39 0.7744361 2 0.2255639 1 1648 480 2 0.5046948 2 0.4953052 1 1075 1055 NA 0.3734538 0.006933409 
2 40 0.7744361 2 0.2255639 1 1648 480 2 0.5690141 2 0.4309859 1 1212 918 NA 0.4374079 0.0002476507 
2 41 0.7744361 2 0.2255639 1 1648 480 2 0.5037559 2 0.4962441 1 1073 1057 NA 0.3737203 0.006163892 
2 42 0.7744361 2 0.2255639 1 1648 480 2 0.930986 2 0.06901408 1 1983 147 NA 0.740049 0.03236732 
2 43 0.7744361 2 0.2255639 1 1648 480 2 0.930986 2 0.06901408 1 1983 147 NA 0.740049 0.03236732 
2 44 0.7744361 2 0.2255639 1 1648 480 2 0.9305164 2 0.06948357 1 1982 148 NA 0.739475 0.0314585 
2 45 0.7744361 2 0.2255639 1 1648 480 2 0.9312618 2 0.06873823 1 1978 146 6 0.739881 0.03119967 
2 46 0.7744361 2 0.2255639 1 1648 480 2 0.930856 2 0.06914393 1 1979 147 4 0.7165267 0.001692189 
2 47 0.7744361 2 0.2255639 1 1648 480 2 0.6190028 2 0.3809972 1 1316 810 4 0.4823891 0.0002200574 
2 48 0.7744361 2 0.2255639 1 1648 480 2 0.6790414 2 0.3209586 1 1445 683 2 0.5298456 0.0004142932 
2 49 0.7744361 2 0.2255639 1 1648 480 2 0.9178404 2 0.08215962 1 1955 175 NA 0.7030024 0.004626093 
2 50 0.7744361 2 0.2255639 1 1648 480 2 0.5225564 2 0.4774436 1 1112 1016 2 0.4003991 0.0004217755 
2 51 0.7744361 2 0.2255639 1 1648 480 2 0.5441315 2 0.4558685 1 1159 971 NA 0.4080684 0.004098667 
2 52 0.7744361 2 0.2255639 1 1648 480 2 0.5586854 2 0.4413146 1 1190 940 NA 0.4167132 0.005909006 
2 53 0.7744361 2 0.2255639 1 1648 480 2 0.5558685 2 0.4441315 1 1184 946 NA 0.4136468 0.006574088 
2 54 0.7744361 2 0.2255639 1 1648 480 2 0.5962441 2 0.4037559 1 1270 860 NA 0.4579903 0.0003366598 
2 55 0.7744361 2 0.2255639 1 1648 480 2 0.7349341 2 0.2650659 1 1561 563 6 0.5712639 0.0001301347 
2 56 0.7744361 2 0.2255639 1 1648 480 2 0.7476504 2 0.2523496 1 1591 537 2 0.5797221 1.549739e-05 
2 57 0.7744361 2 0.2255639 1 1648 480 2 0.7643192 2 0.2356808 1 1628 502 NA 0.5945287 0.0002168638 
2 58 0.7744361 2 0.2255639 1 1648 480 2 0.5474178 2 0.4525822 1 1166 964 NA 0.4152884 0.001729540 
2 59 0.7744361 2 0.2255639 1 1648 480 2 0.6251185 2 0.3748815 1 1319 791 20 0.4775027 0.001067842 
2 60 0.7744361 2 0.2255639 1 1648 480 2 0.5291627 2 0.4708373 1 1125 1001 4 0.4205437 0.002650757 
2 61 0.7744361 2 0.2255639 1 1648 480 2 0.7530516 2 0.2469484 1 1604 526 NA 0.5844909 5.206344e-05 
2 62 0.7744361 2 0.2255639 1 1648 480 2 0.9032864 2 0.09671362 1 1924 206 NA 0.6898309 0.006174075 
2 63 0.7744361 2 0.2255639 1 1648 480 2 0.6101695 2 0.3898305 1 1296 828 6 0.4760734 0.0003009342 
2 64 0.7744361 2 0.2255639 1 1648 480 2 0.5032864 2 0.4967136 1 1072 1058 NA 0.3877365 9.405084e-05 
2 65 0.7744361 2 0.2255639 1 1648 480 2 0.8901408 2 0.1098592 1 1896 234 NA 0.6890445 5.722679e-06 
2 66 0.7744361 2 0.2255639 1 1648 480 2 0.9051643 2 0.09483568 1 1928 202 NA 0.695848 0.001764585 
2 67 0.7744361 2 0.2255639 1 1648 480 2 0.5169014 2 0.4830986 1 1101 1029 NA 0.4011349 1.570751e-05 
2 68 0.7744361 2 0.2255639 1 1648 480 2 0.5957746 2 0.4042254 1 1269 861 NA 0.4662593 0.0005637379 
2 69 0.7744361 2 0.2255639 1 1648 480 2 0.5591549 2 0.4408451 1 1191 939 NA 0.4381703 0.000613672 
2 70 0.7744361 2 0.2255639 1 1648 480 2 0.8928571 2 0.1071429 1 1900 228 2 0.6909999 1.271222e-05 
2 71 0.7744361 2 0.2255639 1 1648 480 2 0.893797 2 0.106203 1 1902 226 2 0.6913142 4.611692e-05 
2 72 0.7744361 2 0.2255639 1 1648 480 2 0.6375587 2 0.3624413 1 1358 772 NA 0.4925723 3.426810e-05 
2 73 0.7744361 2 0.2255639 1 1648 480 2 0.9 2 0.1 1 1917 213 NA 0.6942257 0.0004869185 
2 74 0.7744361 2 0.2255639 1 1648 480 2 0.9394366 2 0.06056338 1 2001 129 NA 0.722582 0.002466994 
2 75 0.7744361 2 0.2255639 1 1648 480 2 0.5042254 2 0.4957746 1 1074 1056 NA 0.3898149 1.044632e-05 
2 76 0.7744361 2 0.2255639 1 1648 480 2 0.8725306 2 0.1274694 1 1855 271 4 0.6745669 6.834385e-05 
2 77 0.7744361 2 0.2255639 1 1648 480 2 0.6367481 2 0.3632519 1 1355 773 2 0.4915548 6.069159e-05 
2 78 0.7744361 2 0.2255639 1 1648 480 2 0.7488263 2 0.2511737 1 1595 535 NA 0.5792744 1.261092e-05 
2 79 0.7744361 2 0.2255639 1 1648 480 2 0.5089202 2 0.4910798 1 1084 1046 NA 0.3912802 0.0001855275 
2 80 0.7744361 2 0.2255639 1 1648 480 2 0.5019324 2 0.4980676 1 1039 1031 60 0.3861077 0.0001556062 
3 4 0.873709 2 0.1262911 1 1861 269 NA 0.5831767 2 0.4168233 1 1241 887 2 0.4569375 0.1031101 
3 5 0.873709 2 0.1262911 1 1861 269 NA 0.8107981 2 0.1892019 1 1727 403 NA 0.6845849 0.03351073 
3 6 0.873709 2 0.1262911 1 1861 269 NA 0.842723 2 0.157277 1 1795 335 NA 0.8407843 0.746547 
3 7 0.873709 2 0.1262911 1 1861 269 NA 0.5637996 2 0.4362004 1 1193 923 14 0.4383137 0.1085871 
3 8 0.873709 2 0.1262911 1 1861 269 NA 0.8110902 2 0.1889098 1 1726 402 2 0.6860389 0.03025806 
3 9 0.873709 2 0.1262911 1 1861 269 NA 0.8468045 2 0.1531955 1 1802 326 2 0.7465478 0.003124037 
3 10 0.873709 2 0.1262911 1 1861 269 NA 0.5366886 2 0.4633114 1 1141 985 4 0.4987568 0.03246925 
3 11 0.873709 2 0.1262911 1 1861 269 NA 0.8061033 2 0.1938967 1 1717 413 NA 0.686963 0.01742738 
3 12 0.873709 2 0.1262911 1 1861 269 NA 0.9046948 2 0.09530516 1 1927 203 NA 0.7797667 0.01197396 
3 13 0.873709 2 0.1262911 1 1861 269 NA 0.7103286 2 0.2896714 1 1513 617 NA 0.5934646 0.03248048 
3 14 0.873709 2 0.1262911 1 1861 269 NA 0.7103286 2 0.2896714 1 1513 617 NA 0.5934646 0.03248048 
3 15 0.873709 2 0.1262911 1 1861 269 NA 0.7103286 2 0.2896714 1 1513 617 NA 0.5934646 0.03248048 
3 16 0.873709 2 0.1262911 1 1861 269 NA 0.8061033 2 0.1938967 1 1717 413 NA 0.686963 0.01742738 
3 17 0.873709 2 0.1262911 1 1861 269 NA 0.9896714 2 0.01032864 1 2108 22 NA 0.8634236 0.001410110 
3 18 0.873709 2 0.1262911 1 1861 269 NA 0.5892019 2 0.4107981 1 1255 875 NA 0.5441631 0.03230279 
3 19 0.873709 2 0.1262911 1 1861 269 NA 0.585446 2 0.414554 1 1247 883 NA 0.536221 0.0228032 
3 20 0.873709 2 0.1262911 1 1861 269 NA 0.62723 2 0.3727700 1 1336 794 NA 0.5770417 0.03265446 
3 21 0.873709 2 0.1262911 1 1861 269 NA 0.618421 2 0.3815789 1 1316 812 2 0.5179051 0.01929593 
3 22 0.873709 2 0.1262911 1 1861 269 NA 0.886385 2 0.1136150 1 1888 242 NA 0.7727942 0.0002444933 
3 23 0.873709 2 0.1262911 1 1861 269 NA 0.9422535 2 0.05774648 1 2007 123 NA 0.8223402 0.0001394757 
3 24 0.873709 2 0.1262911 1 1861 269 NA 0.799061 2 0.2009390 1 1702 428 NA 0.689391 0.00432711 
3 25 0.873709 2 0.1262911 1 1861 269 NA 0.5018779 1 0.4981221 2 1069 1061 NA 0.4175447 0.01591171 
3 26 0.873709 2 0.1262911 1 1861 269 NA 0.7070423 2 0.2929577 1 1506 624 NA 0.6050604 0.007044402 
3 27 0.873709 2 0.1262911 1 1861 269 NA 0.5051643 2 0.4948357 1 1076 1054 NA 0.4190592 0.01804116 
3 28 0.873709 2 0.1262911 1 1861 269 NA 0.5056338 2 0.4943662 1 1077 1053 NA 0.4195747 0.01787152 
3 29 0.873709 2 0.1262911 1 1861 269 NA 0.8403756 2 0.1596244 1 1790 340 NA 0.727766 0.002834740 
3 30 0.873709 2 0.1262911 1 1861 269 NA 0.7079812 2 0.2920188 1 1508 622 NA 0.6061072 0.006808086 
3 31 0.873709 2 0.1262911 1 1861 269 NA 0.887688 2 0.1123120 1 1889 239 2 0.7703011 0.002534005 
3 32 0.873709 2 0.1262911 1 1861 269 NA 0.9150235 2 0.08497653 1 1949 181 NA 0.7934364 0.004234932 
3 33 0.873709 2 0.1262911 1 1861 269 NA 0.9169014 2 0.08309859 1 1953 177 NA 0.7955182 0.003712505 
3 34 0.873709 2 0.1262911 1 1861 269 NA 0.5774648 2 0.4225352 1 1230 900 NA 0.4869799 0.01144820 
3 35 0.873709 2 0.1262911 1 1861 269 NA 0.5657277 2 0.4342723 1 1205 925 NA 0.4825583 0.005069541 
3 36 0.873709 2 0.1262911 1 1861 269 NA 0.5680751 2 0.4319249 1 1210 920 NA 0.4851942 0.004582128 
3 37 0.873709 2 0.1262911 1 1861 269 NA 0.5662594 2 0.4337406 1 1205 923 2 0.4831522 0.004959749 
3 38 0.873709 2 0.1262911 1 1861 269 NA 0.5686736 2 0.4313264 1 1209 917 4 0.4848925 0.005287496 
3 39 0.873709 2 0.1262911 1 1861 269 NA 0.5046948 2 0.4953052 1 1075 1055 NA 0.4575619 0.009996887 
3 40 0.873709 2 0.1262911 1 1861 269 NA 0.5690141 2 0.4309859 1 1212 918 NA 0.485281 0.005208375 
3 41 0.873709 2 0.1262911 1 1861 269 NA 0.5037559 2 0.4962441 1 1073 1057 NA 0.4573492 0.01074158 
3 42 0.873709 2 0.1262911 1 1861 269 NA 0.930986 2 0.06901408 1 1983 147 NA 0.809193 0.002509206 
3 43 0.873709 2 0.1262911 1 1861 269 NA 0.930986 2 0.06901408 1 1983 147 NA 0.809193 0.002509206 
3 44 0.873709 2 0.1262911 1 1861 269 NA 0.9305164 2 0.06948357 1 1982 148 NA 0.8094115 0.001805571 
3 45 0.873709 2 0.1262911 1 1861 269 NA 0.9312618 2 0.06873823 1 1978 146 6 0.8102234 0.001663986 
3 46 0.873709 2 0.1262911 1 1861 269 NA 0.930856 2 0.06914393 1 1979 147 4 0.8057511 0.008018167 
3 47 0.873709 2 0.1262911 1 1861 269 NA 0.6190028 2 0.3809972 1 1316 810 4 0.5342271 0.001674504 
3 48 0.873709 2 0.1262911 1 1861 269 NA 0.6790414 2 0.3209586 1 1445 683 2 0.5869993 0.001642653 
3 49 0.873709 2 0.1262911 1 1861 269 NA 0.9178404 2 0.08215962 1 1955 175 NA 0.7980179 0.001834923 
3 50 0.873709 2 0.1262911 1 1861 269 NA 0.5225564 2 0.4774436 1 1112 1016 2 0.4478350 0.002766673 
3 51 0.873709 2 0.1262911 1 1861 269 NA 0.5441315 2 0.4558685 1 1159 971 NA 0.4878314 0.005634834 
3 52 0.873709 2 0.1262911 1 1861 269 NA 0.5586854 2 0.4413146 1 1190 940 NA 0.5005294 0.005652714 
3 53 0.873709 2 0.1262911 1 1861 269 NA 0.5558685 2 0.4441315 1 1184 946 NA 0.4984899 0.006035673 
3 54 0.873709 2 0.1262911 1 1861 269 NA 0.5962441 2 0.4037559 1 1270 860 NA 0.5299079 0.003025022 
3 55 0.873709 2 0.1262911 1 1861 269 NA 0.7349341 2 0.2650659 1 1561 563 6 0.637045 0.001197477 
3 56 0.873709 2 0.1262911 1 1861 269 NA 0.7476504 2 0.2523496 1 1591 537 2 0.6478574 0.001385928 
3 57 0.873709 2 0.1262911 1 1861 269 NA 0.7643192 2 0.2356808 1 1628 502 NA 0.6642385 0.0006355038 
3 58 0.873709 2 0.1262911 1 1861 269 NA 0.5474178 2 0.4525822 1 1166 964 NA 0.4934823 0.008449708 
3 59 0.873709 2 0.1262911 1 1861 269 NA 0.6251185 2 0.3748815 1 1319 791 20 0.5569556 0.004497397 
3 60 0.873709 2 0.1262911 1 1861 269 NA 0.5291627 2 0.4708373 1 1125 1001 4 0.4528655 0.003261217 
3 61 0.873709 2 0.1262911 1 1861 269 NA 0.7530516 2 0.2469484 1 1604 526 NA 0.6496483 0.003356961 
3 62 0.873709 2 0.1262911 1 1861 269 NA 0.9032864 2 0.09671362 1 1924 206 NA 0.7892129 1.301909e-09 
